RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
4154909,2017,1962,2024,PRIVATE,16,Don Valley East,67 PARKWOODS VILLAGE DR,7,78,2024-07-16,97,97,0,46,3,2,3,3,3,3,3,2,2,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1625,43.7604077056,-79.3211498347,319185.587,4846509.004
4154903,2017,1963,2024,PRIVATE,16,Don Valley East,70 PARKWOODS VILLAGE DR,6,65,2024-07-18,95,95,0,42,3,3,2,N/A,3,2,2,2,3,3,N/A,N/A,3,3,3,3,3,N/A,3,2,N/A,N/A,3,3,3,N/A,3,3,3,3,3,3,3,N/A,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N1625,43.7598996821,-79.3227165337,319059.553,4846452.297
4154912,2022,1962,2023,PRIVATE,16,Don Valley East,71 PARKWOODS VILLAGE DR,7,81,2023-07-20,81,81,0,43,3,3,N/A,2,3,2,2,3,2,3,N/A,N/A,3,3,3,3,2,N/A,3,3,N/A,N/A,N/A,1,2,2,3,3,2,2,3,2,3,2,2,2,2,3,3,3,3,3,1,1,1,2,1,2,1,2,N1625,43.7607627903,-79.3217087274,319140.499,4846548.357
4154912,2022,1962,2025,PRIVATE,16,Don Valley East,71 PARKWOODS VILLAGE DR,7,81,2025-06-18,85,85,0,44,3,3,3,2,3,1,3,1,3,3,3,N/A,3,3,3,2,3,N/A,N/A,2,N/A,N/A,N/A,1,3,3,3,3,1,2,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,N1625,43.7607627903,-79.3217087274,319140.499,4846548.357
4154902,2017,1962,2023,PRIVATE,16,Don Valley East,76 PARKWOODS VILLAGE DR,6,65,2023-09-07,85,85,0,42,3,2,2,N/A,3,2,3,3,2,2,N/A,N/A,3,3,2,2,2,N/A,3,2,2,N/A,N/A,2,3,N/A,3,2,2,3,3,2,3,N/A,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,N1625,43.7601853527,-79.3232568581,319015.977,4846483.943
4154902,2017,1962,2025,PRIVATE,16,Don Valley East,76 PARKWOODS VILLAGE DR,6,65,2025-06-18,89,89,0,42,3,3,3,N/A,3,2,3,3,3,3,N/A,N/A,3,3,2,3,3,N/A,3,3,3,N/A,N/A,1,3,N/A,3,2,2,3,2,1,3,N/A,2,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,N1625,43.7601853527,-79.3232568581,319015.977,4846483.943
4154914,2017,1962,2024,PRIVATE,16,Don Valley East,77 PARKWOODS VILLAGE DR,6,85,2024-07-18,92,92,0,43,3,3,3,3,3,1,3,2,2,1,N/A,N/A,3,3,3,3,3,N/A,3,3,2,N/A,N/A,3,3,N/A,3,3,3,3,3,3,3,N/A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1625,43.7609163108,-79.3224297543,319082.404,4846565.29
4155895,2017,1994,2023,SOCIAL HOUSING,16,Don Valley East,83 PARKWOODS VILLAGE DR,7,68,2023-07-20,92,92,0,47,3,3,3,3,3,3,3,3,2,3,2,N/A,3,3,3,3,3,3,3,3,N/A,N/A,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,1,1,2,1,1,N1625,43.7613478406,-79.323202558,319020.075,4846613.101
4155895,2017,1994,2025,SOCIAL HOUSING,16,Don Valley East,83 PARKWOODS VILLAGE DR,7,68,2025-06-23,91,91,0,43, 2, 3, 3, N/A, 3, 2, 3, 3, 3, 2, N/A, N/A, 3, 2, 3, 3, 3,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,3,3,1,3,1,3,3,N1625,43.7613478406,-79.323202558,319020.075,4846613.101
4153568,2017,1992,2024,SOCIAL HOUSING,13,Toronto Centre,205 PARLIAMENT ST,6,16,2024-09-30,97,97,0,41,3,3,3,N/A,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,3,3,N/A,3,3,2,3,3,3,3,N/A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1330,43.656443931,-79.364457056,315717.036,4834953.523
4155783,2017,1955,2025,PRIVATE,08,Eglinton-Lawrence,101 MARLEE AVE,6,58,2025-08-13,83,83,0,40,3,3,1,N/A,N/A,2,2,3,1,2,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,3,3,2,2,3,3,3,N/A,2,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,N0832,43.701461008,-79.440472942,309582.088,4839947.551
4155044,2017,1960,2023,PRIVATE,08,Eglinton-Lawrence,110 MARLEE AVE,7,110,2023-08-09,85,85,0,44,3,3,N/A,3,3,2,1,2,2,2,3,3,3,3,3,3,3,N/A,2,2,2,N/A,N/A,3,1,N/A,3,3,1,2,3,1,2,N/A,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,N0831,43.701234202,-79.441021952,309537.855,4839922.321
4155044,2017,1960,2025,PRIVATE,08,Eglinton-Lawrence,110 MARLEE AVE,7,110,2025-08-13,95,95,0,41,3,3,3,N/A,N/A,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,2,3,N/A,N/A,2,3,N/A,3,2,2,2,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N0831,43.701234202,-79.441021952,309537.855,4839922.321
